VenCode,PartNumber,SKU,TotalQty,
A13,25804,A13_25804,0,
A16,10567,A16_10567,0,
A1V,30703,A1V_30703,0,
A1V,3992,A1V_3992,0,
A1V,2409,A1V_2409,1,
A1V,3967,A1V_3967,1,
A1V,1757,A1V_1757,0,
A1V,2111,A1V_2111,0,
A1V,2112,A1V_2112,0,
A1V,2405,A1V_2405,0,
A1V,1786,A1V_1786,0,
A1V,1784,A1V_1784,0,
A1V,1781,A1V_1781,0,
A1V,2507,A1V_2507,0,
A1V,2410,A1V_2410,0,
A1V,2113,A1V_2113,0,
A1V,2408,A1V_2408,0,
A1V,1758,A1V_1758,0,
A1V,1787,A1V_1787,0,
A1V,1756,A1V_1756,0,
A1V,1737,A1V_1737,0,
A1V,1785,A1V_1785,0,
A1V,3960,A1V_3960,0,
A1V,3971,A1V_3971,0,
A1V,3972,A1V_3972,0,
A1V,1783,A1V_1783,0,
A1V,1755,A1V_1755,0,
A1V,1731,A1V_1731,0,
A1V,2114,A1V_2114,0,
A1V,3923,A1V_3923,0,
A1V,2403,A1V_2403,0,
A1V,2401,A1V_2401,0,
A1V,1751,A1V_1751,0,
A1V,3982,A1V_3982,0,
A68,96101KP,A68_96101KP,0,
A68,96113K,A68_96113K,0,
A68,96095K,A68_96095K,0,
A68,96196K,A68_96196K,0,
A68,96001C,A68_96001C,0,
A68,96293K,A68_96293K,0,
A68,96001K,A68_96001K,45,
A68,96500P,A68_96500P,0,
A68,96183P,A68_96183P,0,
A68,96095P,A68_96095P,22,
A68,96181P,A68_96181P,0,
A68,96017K,A68_96017K,0,
A68,96143K,A68_96143K,0,
A68, 96143P,A68_ 96143P,0,
A68,96500K,A68_96500K,0,
A68,87394P,A68_87394P,0,
A68,96195K,A68_96195K,11,
A68,96042K,A68_96042K,0,
A68,96100K,A68_96100K,0,
A68,96093P,A68_96093P,0,
A68,96017P,A68_96017P,66,
B6A,152-6FG,B6A_152-6FG,0,
B6A,101-6Y,B6A_101-6Y,0,
B6A,152-6CF,B6A_152-6CF,0,
B6A,101-6SB,B6A_101-6SB,0,
B6A,152-6WH,B6A_152-6WH,0,
B6A,103-6BK,B6A_103-6BK,0,
G16,,G16_,0,
G16,,G16_,0,
G16,,G16_,0,
G16,,G16_,0,
K47,31570,K47_31570,0,
K81,1401,K81_1401,0,
K81,81600,K81_81600,0,
K81,80710,K81_80710,0,
K81,DN100,K81_DN100,0,
K81,80900,K81_80900,0,
K81,62049-50G,K81_62049-50G,0,
K81,H3571,K81_H3571,0,
P23,000518R01,P23_000518R01,0,
P23,006563R01,P23_006563R01,0,
P23,000795R01,P23_000795R01,0,
P23,2238,P23_002238,0,
S2I,VG-97-4000,S2I_VG-97-4000,0,
S2I,EXT-3542,S2I_EXT-3542,0,
S2I,LG119226,S2I_LG119226,0,
S2I,2020-JR,S2I_2020-JR,0,
S2I,VGD-02-4000,S2I_VGD-02-4000,0,
S2I,AM-300,S2I_AM-300,0,
S2I,LG-119225,S2I_LG-119225,0,
S2I,AH-150,S2I_AH-150,0,
S2I,JET-01,S2I_JET-01,0,
T22,503,T22_503,0,
T22,542,T22_542,0,
Y10,8008115,Y10_8008115,0,
Y10,8007078,Y10_8007078,0,
Y10,8007072,Y10_8007072,0,
Y10,8007415,Y10_8007415 ,0,
Y10,8002103,Y10_8002103,0,
Y10,8007080,Y10_8007080,0,
Y10,8007413,Y10_8007413,0,
Y10,8007204,Y10_8007204,0,
Y10,8002424,Y10_8002424,0,
Y10,8004052,Y10_8004052,0,
Y10,8000422,Y10_8000422,0,
Y10,8000425,Y10_8000425,0,
Y10,8000150,Y10_8000150,0,
Y10,8000152,Y10_8000152,0,
Y10,8000151,Y10_8000151,0,
Y10,8005018,Y10_8005018,0,
Y10,8004078,Y10_8004078,0,
Y10,8004075,Y10_8004075,0,
Y10,8001149,Y10_8001149,0,
Y10,8004018,Y10_8004018,0,
Y10,8004074,Y10_8004074,0,
Y10,8003096,Y10_8003096,0,
Y10,8003093,Y10_8003093,0,
Y10,8000409,Y10_8000409,,
Y10,8002471,Y10_8002471,,
Y10,8000411,Y10_8000411,,
Y10,8003590,Y10_8003590,,
Y10,8004031,Y10_8004031,,
Y10,8002412,Y10_8002412,,
Y10,8002445,Y10_8002445,,
Y10,8002458,Y10_8002458,,
Y10,8002459,Y10_8002459,,
Y10,8002464,Y10_8002464,,
Y10,8004041,Y10_8004041,,
Y10,8007077,Y10_8007077,,
Y10,8001135,Y10_8001135,,
Y10,8002446,Y10_8002446,,
Y10,8007075,Y10_8007075,,
Y10,8001127,Y10_8001127,,
Y10,8002457,Y10_8002457,,
Y10,8002458,Y10_8002458,,
Y10,8002464,Y10_8002464,,
Y10,8007076,Y10_8007076,,
Y10,8007081,Y10_8007081,,
Y10,8005016,Y10_8005016 ,,
Y10,8000421,Y10_8000421,,
Y10,8000423,Y10_8000423,,
Y10,8000424,Y10_8000424,,
Y10,8000146,Y10_8000146,,
Y10,8000147,Y10_8000147,,
Y10,8007206,Y10_8007206,,
Y10,8002599,Y10_8002599,,
Y10,8002472,Y10_8002472,,
Y10,8002099,Y10_8002099,,
Y10,8000408,Y10_8000408,,
Y10,8008109,Y10_8008109,,
Y10,8004042,Y10_8004042,,
Y10,8002457,Y10_8002457,,
Y10,8002463,Y10_8002463,,
Y10,8810023,Y10_8810023,,
Y10,8000410,Y10_8000410,,
Y10,8007074,Y10_8007074,,
Y10,8002093,Y10_8002093,,
Y10,8007064,Y10_8007064,,
Y10,8007208,Y10_8007208,,
Y10,8008002,Y10_8008002,,
Y10,8000124,Y10_8000124,,
Y10,8007235,Y10_8007235,,
Y10,8004069,Y10_8004069,,
Y10,8007414,Y10_8007414,,
Y10,8002443,Y10_8002443,,
Y10,8007082,Y10_8007082,,
Y10,8000426,Y10_8000426,,
Y10,8000429,Y10_8000429,,
Y10,8000428,Y10_8000428,,
Y10,8000427,Y10_8000427,,
Y10,8000145,Y10_8000145,,
Y10,8000148,Y10_8000148,,
Y10,8001126,Y10_8001126,,
Y10,8005019,Y10_8005019,,
Y10,8002418,Y10_8002418,,
Y10,8002098,Y10_8002098,,
Y10,8004073,Y10_8004073,,
Y10,8007070,Y10_8007070,,
Y10,8002468,Y10_8002468,,
Y10,8003095,Y10_8003095,,
Y10,8008107,Y10_8008107,,
Y10,8880613,Y10_8880613,,
Y10,8005017,Y10_8005017,,
Y10,8004048,Y10_8004048,,
Y10,8007419,Y10_8007419,,
Y10,8003098,Y10_8003098,,
Y10,8008110,Y10_8008110,,
Y10,8005006,Y10_8005006,,
Y10,8005000,Y10_8005000,,
Y10,8007420,Y10_8007420,,
